Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross
The Shawshank Redemption,1994,R,142 min,Drama,9.3,80,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,2343110,28341469
The Godfather,1972,R,175 min,Crime,9.2,100,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Richard S. Castellano,1620367,134966411
